pt,alerts,tp,fp,nb_model,nb_all,nb_none,delta
0.1,267,105,162,0.0725604670558799,0.048280974886479464,0.0,0.024279492169400438
0.2,203,90,113,0.051501251042535445,-0.0706839032527106,0.0,0.051501251042535445
0.3,171,83,88,0.037769569879661624,-0.22363874657452643,0.0,0.037769569879661624
0.4,155,77,78,0.020850708924103414,-0.42757853767028087,0.0,0.020850708924103414
0.5,134,70,64,0.005004170141784822,-0.713094245204337,0.0,0.005004170141784822
0.6000000000000001,117,61,56,-0.01918265221017517,-1.1413678065054218,0.0,-0.01918265221017517
0.7000000000000001,99,53,46,-0.045315540728384784,-1.855157075340562,0.0,-0.045315540728384784
0.8,89,50,39,-0.08840700583819855,-3.282735613010843,0.0,-0.08840700583819855
0.9,55,29,26,-0.1709758131776481,-7.565471226021686,0.0,-0.1709758131776481
