stratum,n,events,mean_predicted,observed,share_units,share_events
Low <0.10,932,67,0.0109560175821107,0.07188841201716738,0.7773144286905754,0.38953488372093026
Moderate 0.10-0.30,96,22,0.1960748463170603,0.22916666666666666,0.08006672226855713,0.12790697674418605
High 0.30-0.60,54,22,0.44874937026252765,0.4074074074074074,0.045037531276063386,0.12790697674418605
Very high >=0.60,117,61,0.806669415067826,0.5213675213675214,0.097581317764804,0.3546511627906977
