periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especilizada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,29,26,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,2,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,107,90,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,146,112,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,10,9,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,164,133,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,30,17,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,3,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,69,60,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,23,23,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,98,97,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,741,711,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,4522,3791,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
ENERO - MAYO,2026,08/06/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,,8,8,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,23/06/2026
