periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,78,49,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,12,10,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,530,509,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,353,328,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,112,106,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,468,453,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,57,55,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,19,18,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,,4,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CRIMINALIDAD ORGANIZADA,21,20,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,296,280,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,293,293,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,45,45,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,2,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,1532,1053,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,11195,10084,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2021,11/01/2022,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,,7,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
