periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,42,35,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,28,22,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,417,390,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,300,272,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,74,68,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,635,552,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,42,36,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,33,33,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,369,341,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CONTRA LA CRIMINALIDAD ORGANIZADA,20,18,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,340,340,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,1,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,56,56,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,1555,936,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,11086,9873,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,,8,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,DELITOS DE CORRUPCION DE FUNCIONARIOS,1,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,MATERIA AMBIENTAL,55,55,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,,709,706,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,,63,61,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,4,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA CIVIL,INCIDENTE,,1,0,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,14,11,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA PENAL,INCIDENTE,,5,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,3,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,,24,16,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,FAMILIA,VIOLENCIA FAMILIAR,INCIDENTE,,107,85,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,APELACION DENUNCIA,,641,638,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,APELACION EXPEDIENTE,,5,5,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,CONSULTAS,,173,168,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,DENUNCIA,,64,55,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,EXCLUSION FISCAL,,23,23,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,EXPEDIENTE,,116,103,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,INCIDENTE-EXPEDIENTE,,32,22,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,AMAZONAS,SUPERIOR,PENAL,PENAL,QUEJAS,,508,504,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,33,33,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,35,35,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,740,724,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,536,507,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,175,170,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,419,416,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,81,77,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,36,35,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,,18,18,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,644,593,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,266,266,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,4038,3996,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,PENAL,PENAL,DENUNCIA,,15166,14689,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,,13,13,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,MATERIA AMBIENTAL,90,90,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2022,06/01/2023,ANCASH,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,,384,384,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
