periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especilizada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,61,54,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,19,17,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,344,324,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,280,235,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,44,41,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,571,520,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,67,53,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,8,8,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CONTRA LA CRIMINALIDAD ORGANIZADA,39,38,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
ENERO - DICIEMBRE,2025,05/01/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,335,318,010101,AMAZONAS,AMAZONAS,CHACHAPOYAS,09/01/2026
