periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,21,21,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,8,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,214,186,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,190,152,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,57,50,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,245,238,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,37,34,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,10,10,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,,10,10,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CRIMINALIDAD ORGANIZADA,6,5,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,288,273,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,235,235,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,29,29,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,986,563,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,DELITOS DE CORRUPCION DE FUNCIONARIOS,1,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,MATERIA AMBIENTAL,36,36,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,8148,6842,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,,1,0,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,,104,102,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,1,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,,101,98,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,CIVIL,CIVIL,EXPEDIENTE,,1,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,1,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,4,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA PENAL,INCIDENTE,,1,0,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,3,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,,14,11,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,FAMILIA,VIOLENCIA FAMILIAR,INCIDENTE,,10,6,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,PENAL,PENAL,APELACION DENUNCIA,,346,338,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,PENAL,PENAL,APELACION EXPEDIENTE,,2,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,PENAL,PENAL,CONSULTAS,,59,56,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,PENAL,PENAL,EXCLUSION FISCAL,,20,18,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,PENAL,PENAL,EXPEDIENTE,,188,151,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,PENAL,PENAL,INCIDENTE-EXPEDIENTE,,5,5,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,AMAZONAS,SUPERIOR,PENAL,PENAL,QUEJAS,,230,228,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,40,36,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,8,7,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,250,243,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,247,223,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,97,91,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,147,138,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,55,52,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,21,21,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
ENERO - DICIEMBRE,2020,08/01/2021,ANCASH,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,,6,6,020101,ANCASH,HUARAZ,HUARAZ,15/06/2023
